kernel,label,mean_ns,stdev_ns,median_ns,min_ns,max_ns,delta_pct_vs_generic-ooo,n
load_add_chain,generic-ooo,7909.090818181819,517.7151220534537,7804.6055,7741.863,10211.266,0.0,22
load_add_chain,x60,7794.618636363636,56.370430133051784,7756.836,7742.188,7899.25,-1.4473494419235644,22
load_add_chain,default-tune,7818.928818181818,120.06759401414806,7779.053,7742.352,8288.086,-1.1399793234480415,22
load_add_chain,eessi-14.3,7809.674227272727,75.97457652833714,7781.17,7741.863,7958.332,-1.2569913937585306,22
fma_chain,generic-ooo,21927.89718181818,523.2002518386821,21817.953,21530.598,24198.57,0.0,22
fma_chain,x60,20822.09572727273,1552.5065737995678,20510.58,19977.051,27480.957,-5.0428978455004065,22
fma_chain,default-tune,21895.10818181818,95.81858363477758,21908.123,21742.512,22136.07,-0.14953098205507878,22
fma_chain,eessi-14.3,21757.664681818183,95.12055085065478,21732.5035,21581.219,21972.332,-0.7763284303483002,22
div_mix,generic-ooo,37952.14845454546,48.449501650320826,37945.6385,37899.902,38084.145,0.0,22
div_mix,x60,35398.06063636364,54.354772664277405,35383.220499999996,35335.938,35523.598,-6.729758188105739,22
div_mix,default-tune,37949.07027272727,61.08299516480026,37935.627,37894.859,38168.617,-0.008110691867345844,22
div_mix,eessi-14.3,38704.16027272727,3482.4351649999467,37964.6795,37896.32,54293.621,1.981473641953315,22
sh1add,generic-ooo,10606.725909090908,35.17178474276416,10610.2695,10544.922,10660.969,0.0,22
sh1add,x60,10585.330772727273,176.17392754075826,10559.5685,10455.566,11323.73,-0.20171291826535875,22
sh1add,default-tune,10630.696681818183,186.32596971191228,10604.9805,10472.328,11361.492,0.22599596645303424,22
sh1add,eessi-14.3,10619.510409090908,58.927846990365296,10626.789499999999,10534.996,10723.309,0.120532010627731,22
