label,kernel,rep,ns_per_call
generic-ooo,load_add_chain,0,7742.027
generic-ooo,load_add_chain,1,7831.871
generic-ooo,load_add_chain,2,8380.859
generic-ooo,load_add_chain,3,8178.387
generic-ooo,load_add_chain,4,7910.969
generic-ooo,load_add_chain,5,8143.879
generic-ooo,load_add_chain,6,7929.852
generic-ooo,load_add_chain,7,8075.031
generic-ooo,load_add_chain,8,7963.707
generic-ooo,load_add_chain,9,8246.746
generic-ooo,load_add_chain,10,7923.664
generic-ooo,fma_chain,0,22879.395
generic-ooo,fma_chain,1,22976.398
generic-ooo,fma_chain,2,23017.090
generic-ooo,fma_chain,3,23134.441
generic-ooo,fma_chain,4,22678.223
generic-ooo,fma_chain,5,23052.410
generic-ooo,fma_chain,6,23375.488
generic-ooo,fma_chain,7,23157.879
generic-ooo,fma_chain,8,22696.617
generic-ooo,fma_chain,9,22839.031
generic-ooo,fma_chain,10,22899.250
generic-ooo,div_mix,0,39712.242
generic-ooo,div_mix,1,40299.152
generic-ooo,div_mix,2,40841.309
generic-ooo,div_mix,3,38675.781
generic-ooo,div_mix,4,37956.379
generic-ooo,div_mix,5,38088.867
generic-ooo,div_mix,6,38150.715
generic-ooo,div_mix,7,37912.762
generic-ooo,div_mix,8,38041.992
generic-ooo,div_mix,9,37945.965
generic-ooo,div_mix,10,37983.727
generic-ooo,sh1add,0,10704.914
generic-ooo,sh1add,1,10626.305
generic-ooo,sh1add,2,10636.719
generic-ooo,sh1add,3,10631.996
generic-ooo,sh1add,4,10771.484
generic-ooo,sh1add,5,10649.574
generic-ooo,sh1add,6,10600.750
generic-ooo,sh1add,7,10643.066
generic-ooo,sh1add,8,10692.871
generic-ooo,sh1add,9,10602.863
generic-ooo,sh1add,10,10636.230
x60,load_add_chain,0,7751.953
x60,load_add_chain,1,8287.109
x60,load_add_chain,2,7743.980
x60,load_add_chain,3,7827.148
x60,load_add_chain,4,7745.934
x60,load_add_chain,5,7807.941
x60,load_add_chain,6,7744.953
x60,load_add_chain,7,7850.586
x60,load_add_chain,8,7740.398
x60,load_add_chain,9,7801.430
x60,load_add_chain,10,7745.281
x60,fma_chain,0,19790.688
x60,fma_chain,1,20272.625
x60,fma_chain,2,20442.059
x60,fma_chain,3,20605.633
x60,fma_chain,4,20376.465
x60,fma_chain,5,20174.152
x60,fma_chain,6,20204.590
x60,fma_chain,7,20316.082
x60,fma_chain,8,20253.094
x60,fma_chain,9,20504.070
x60,fma_chain,10,20545.734
x60,div_mix,0,35372.887
