label	GB	pp512_ime	pp512_rvv	tg64_ime	tg64_rvv	coherence
qwen2.5-0.5b	0.37	23.92	20.73	1.42	9.19	OK
llama-3.2-1b	0.75	24.13	27.49	1.90	8.19	OK
gemma-3-1b	0.75	12.75	11.36	1.04	4.40	OK
deepseek-coder-1.3b	0.81	16.51	16.43	1.37	6.91	OK*
qwen2.5-1.5b	0.92	18.62	18.80	1.14	6.31	OK
stablelm-2-1.6b	0.96	16.58	20.65	1.17	6.74	OK
falcon3-1b	0.98	19.57	22.49	1.69	7.28	OK
smollm2-1.7b	0.98	13.62	15.46	1.35	5.94	OK
deepseek-r1-qwen-1.5b	1.04	18.54	19.10	1.14	6.38	OK*
granite-3.1-2b	1.44	9.23	10.48	0.80	4.04	OK*
gemma-2-2b	1.59	11.43	12.07	0.97	3.25	OK
qwen2.5-3b	1.80	8.25	8.93	0.79	3.43	OK
falcon3-3b	1.87	10.37	10.68	1.17	3.74	OK
llama-3.2-3b	1.88	8.59	9.14	0.96	3.30	OK*
phi-3.5-mini	2.23	4.08	2.91	0.69	2.04	OK*
gemma-3-4b	2.32	7.67	7.68	0.70	2.52	OK
phi-4-mini	2.32	5.33	4.14	0.76	2.17	OK*
